z,N1,N3,N5,N7,N9,N11,N13,N15,N17,N19,N21
0.425,1.8965,1.5853,1.6104,1.6165,1.6186,1.6194,1.6196,1.6196,1.6194,1.6192,1.6189
0.42656,1.8955,1.5846,1.6097,1.6158,1.618,1.6188,1.619,1.619,1.6188,1.6186,1.6183
0.42812,1.8944,1.5838,1.609,1.6152,1.6174,1.6182,1.6184,1.6184,1.6182,1.618,1.6178
0.42969,1.8934,1.5831,1.6084,1.6145,1.6167,1.6176,1.6178,1.6178,1.6176,1.6174,1.6172
0.43125,1.8923,1.5824,1.6077,1.6139,1.6161,1.617,1.6172,1.6172,1.617,1.6168,1.6166
0.43281,1.8913,1.5817,1.6071,1.6133,1.6155,1.6163,1.6166,1.6166,1.6164,1.6162,1.616
0.43438,1.8903,1.581,1.6064,1.6126,1.6149,1.6157,1.616,1.616,1.6158,1.6156,1.6154
0.43594,1.8892,1.5803,1.6058,1.612,1.6143,1.6151,1.6154,1.6154,1.6153,1.6151,1.6149
0.4375,1.8882,1.5795,1.6051,1.6114,1.6137,1.6145,1.6148,1.6148,1.6147,1.6145,1.6143
0.43906,1.8872,1.5788,1.6045,1.6108,1.613,1.6139,1.6142,1.6142,1.6141,1.6139,1.6137
0.44062,1.8862,1.5781,1.6038,1.6101,1.6124,1.6133,1.6136,1.6136,1.6135,1.6133,1.6132
0.44219,1.8852,1.5774,1.6032,1.6095,1.6118,1.6127,1.613,1.6131,1.6129,1.6128,1.6126
0.44375,1.8841,1.5767,1.6025,1.6089,1.6112,1.6121,1.6125,1.6125,1.6124,1.6122,1.612
0.44531,1.8831,1.576,1.6019,1.6083,1.6106,1.6116,1.6119,1.6119,1.6118,1.6116,1.6115
0.44688,1.8821,1.5753,1.6012,1.6077,1.61,1.611,1.6113,1.6113,1.6112,1.6111,1.6109
0.44844,1.8811,1.5746,1.6006,1.6071,1.6094,1.6104,1.6107,1.6108,1.6107,1.6105,1.6103
0.45,1.8801,1.5739,1.6,1.6064,1.6088,1.6098,1.6101,1.6102,1.6101,1.61,1.6098
0.45156,1.8791,1.5732,1.5993,1.6058,1.6082,1.6092,1.6096,1.6096,1.6095,1.6094,1.6092
0.45312,1.8781,1.5726,1.5987,1.6052,1.6076,1.6086,1.609,1.6091,1.609,1.6088,1.6087
0.45469,1.8772,1.5719,1.5981,1.6046,1.607,1.608,1.6084,1.6085,1.6084,1.6083,1.6081
0.45625,1.8762,1.5712,1.5974,1.604,1.6064,1.6075,1.6078,1.6079,1.6079,1.6077,1.6076
0.45781,1.8752,1.5705,1.5968,1.6034,1.6059,1.6069,1.6073,1.6074,1.6073,1.6072,1.607
0.45937,1.8742,1.5698,1.5962,1.6028,1.6053,1.6063,1.6067,1.6068,1.6068,1.6066,1.6065
0.46094,1.8733,1.5691,1.5956,1.6022,1.6047,1.6057,1.6061,1.6062,1.6062,1.6061,1.606
0.4625,1.8723,1.5685,1.5949,1.6016,1.6041,1.6052,1.6056,1.6057,1.6056,1.6055,1.6054
0.46406,1.8713,1.5678,1.5943,1.601,1.6035,1.6046,1.605,1.6051,1.6051,1.605,1.6049
